id;brand;volume;name;customerPrice;price;discount;category;subcategory;subname;warehouse;publish;sex;shortDescription
01;Dusy;;Kartáč na vlasy; 55 Kč ; 75 Kč ;27%;Kartáče;;Malý kartáč;3;0;;Stručný text o produktu, bla bla blabla bla blabla bla blabla bla blabla bla bla bla bla
02;Dusy;250;COLOR REFLEX TREATMENT  Brown; 299 Kč ; 409 Kč ;27%;Regenerace;Oplachovací regenerace;Hnědý odstín;9;1;;Kúra obsahuje pečující a uhlazující složky s barevnými pigmenty
03;Dusy;250;COLOR REFLEX TREATMENT Cooper; 299 Kč ; 409 Kč ;27%;Regenerace;Oplachovací regenerace;Měděný odstín;9;1;;Kúra obsahuje pečující a uhlazující složky s barevnými pigmenty
04;Dusy;250;COLOR REFLEX TREATMENT Red; 299 Kč ; 409 Kč ;27%;Regenerace;Oplachovací regenerace;Červený odstín;10;1;;Kúra obsahuje pečující a uhlazující složky s barevnými pigmenty
05;Dusy;250;COLOR REFLEX TREATMENT Red-Brown; 299 Kč ; 409 Kč ;27%;Regenerace;Oplachovací regenerace;Červenohnědý odstín;1;1;;Kúra obsahuje pečující a uhlazující složky s barevnými pigmenty
06;Dusy;500;Hair spray normal č.2; 199 Kč ; 219 Kč ;9%;Laky;;Slabě tužící flexibilní lak;3;1;;Lak se střední fixací č. 2
07;Dusy;500;Hair lac č.3; 199 Kč ; 219 Kč ;9%;Laky;;Silně tužící lak;2;1;;Lak se silnou fixací č. 3
08;Dusy;250;Envité 2-phase Color Conditioner ; 269 Kč ; 279 Kč ;4%;Regenerace;;Pouze pro barvené vlasy;10;1;;Dvoufázový bezoplachový kondicionér na barvené vlasy
09;Dusy;250;Envité 2-phase Conditioner ; 269 Kč ; 279 Kč ;4%;Regenerace;;Pro všechny typy;10;1;;Dvoufázový bezoplachový kondicionér 
10;Dusy;50;2-Phase Conditioner; 90 Kč ; 99 Kč ;9%;Regenerace;;Pro všechny typy;5;1;;Dvoufázový bezoplachový kondicionér 
11;Dusy;200;Argan oil spray; 199 Kč ; 210 Kč ;5%;Regenerace;;Pro sušší vlasy;2;1;;Arganové bezoplachové mléko ve spreji
12;Dusy;250;Care 10-in-1; 299 Kč ; 309 Kč ;3%;Regenerace;;;10;1;;Pečující bezoplachový produkt 
13;Dusy;250;Color shampoo ; 103 Kč ; 129 Kč ;20%;Šampony;Pro barvené vlasy;;5;1;;Šamon pro barvené vlasy
14;Dusy;250;Moisture shampoo  ; 103 Kč ; 129 Kč ;20%;Šampony;Hydratační šampony;;;1;;Šampon hydratační
15;Dusy;250;Shine shampoo ; 103 Kč ; 129 Kč ;20%;Šampony;Vysoký lesk;Pro vysoký lesk;;1;;Šampon pro lesklé vlasy
16;Dusy;250;Anti-grease shampoo; 103 Kč ; 129 Kč ;20%;Šampony;Maštění vlasů;Proti maštění vlasů;;1;;Šampon proti mastným vlasům
17;Dusy;250;Volume shampoo ; 103 Kč ; 129 Kč ;20%;Šampony;Objem;Pro objem;;1;;Šampon pro zvětšení objemu
18;Dusy;250;Daily shampoo ; 103 Kč ; 129 Kč ;20%;Šampony;Pečující;;;1;;Šampon pečující
19;Dusy;250;Envité MEN coffein shampoo; 209 Kč ; 219 Kč ;5%;Šampony;Padání;;15;1;muž;Šampon s kofeinem
20;Dusy;250;Silver shampoo; 111 Kč ; 139 Kč ;20%;Šampony;Stříbrný;Pro blond a šedivé vlasy;;1;;Šampon stříbrný
21;Dusy;250;Curl shampoo; 103 Kč ; 129 Kč ;20%;Šampony;Vlnité vlasy ;;;1;;Šampon pro vlnité vlasy
22;Dusy;200;Brushihg lotion; 179 Kč ; 199 Kč ;10%;Tužidla;;Ve spreji;2;1;;Srej na tvarování účesu
23;ING;80;Fluid; 150 Kč ; 190 Kč ;21%;Regenerace;;Roztřepané konečky;7;1;;Fluid naproti roztřepeným konečkům
24;MY Salon;;Kartáč na vlasy; 149 Kč ; 160 Kč ;7%;Kartáče;;;20;1;;
25;Subrina;150;Sweety dětský kondicionér; 106 Kč ; 120 Kč ;12%;Regenerace;;Pro děti;8;1;;Dětský kondicionér ve spreji
26;Subrina;200;Subrina recept Lotion proti padání; 131 Kč ; 140 Kč ;6%;Séra;;Proti padání vlasů;5;1;;Lotion proti padání
27;Subrina;500;Argan Colour Shampoo; 194 Kč ; 214 Kč ;9%;Šampony;Pro barvené vlasy;;5;1;;Šampon pro barvené vlasy
28;Subrina;250;Sweety 3in1 dětský; 86 Kč ; 90 Kč ;4%;Šampony;Dětské;;8;1;;Dětský sprchový gel a šampon s kondicionérem
29;Subrina;250;Fruty 2in1 dětský; 86 Kč ; 90 Kč ;4%;Šampony;Dětské;;6;1;;Dětský sprchový gel a šampon  
30;Subrina;250;Brezy 2in1 dětský; 86 Kč ; 90 Kč ;4%;Šampony;Dětské;;8;1;;Dětský sprchový gel a šampon
31;Subrina;250;PHI Active Energi Shampoo; 129 Kč ; 135 Kč ;4%;Šampony;Padání;;4;1;;Šampon proti padání vlasů
32;Subrina;200;Subrina recept proti padání ; 129 Kč ; 135 Kč ;4%;Šampony;Padání;;4;1;;Šampon proti padání vlasů
33;Subrina;400;Subrina recept proti padání ; 211 Kč ; 220 Kč ;4%;Šampony;Padání;;4;1;;Šampon proti padání vlasů
34;Subrina;500;Argan Repair Shampoo; 194 Kč ; 210 Kč ;8%;Šampony;Regenerační;;5;1;;Šampon vyživující pro poškozené vlasy
35;Subrina ;500;Argan Hydro Shampoo; 194 Kč ; 210 Kč ;8%;Šampony;Hydratační šampony;;5;1;;Šampon pro hydrataci vlasů
36;Subrina ;250;Original WASH  shampoo; 150 Kč ; 156 Kč ;4%;Šampony;Pečující;;5;1;muž;Šampon pro vlasy, tělo i vousy
37;Zona in;100;Milk shake colour whipped cream měděný; 290 Kč ; 300 Kč ;3%;Regenerace;Šlehačky;Měděný odstín Copper;9;1;;Bezoplachová vyživující barevná pěna
38;Zona in;100;Milk shake colour whipped cream červený; 290 Kč ; 300 Kč ;3%;Regenerace;Šlehačky;Červený odstín Light Red;8;1;;Bezoplachová vyživující barevná pěna
39;Zona in;100;Milk shake colour whipped cream fialový ; 290 Kč ; 300 Kč ;3%;Regenerace;Šlehačky;Fialový odstín Violet;7;1;;Bezoplachová vyživující barevná pěna
40;Zona in;100;Milk shake colour whipped cream hnědý; 290 Kč ; 300 Kč ;3%;Regenerace;Šlehačky;Hnědý odstín Warm Brunette;9;1;;Bezoplachová vyživující barevná pěna
41;Zona in;200;Milk shake colour whipped cream bezbarvý; 360 Kč ; 370 Kč ;3%;Regenerace;Šlehačky;Bezbarvý;23;1;;Bezoplachová vyživující bezbarvá pěna
42;Zona in;100;Milk shake colour whipped cream cold brunette;290; 300 Kč ;3%;Regenerace;Šlehačky;Hnědý odstín Gold Brunette;6;1;;Bezoplachová vyživující barevná pěna
